feature,nearest_to_fire_median,top_ranked_median,top_minus_nearest,nearest_to_fire_mean,top_ranked_mean,nearest_to_fire_count,top_ranked_count
DEM_1km,647.9450378417969,635.7434692382812,-12.201568603515625,697.45361328125,781.5477315266927,6,150
cos_month,-0.8660253882408142,-0.8660253882408142,0.0,-0.8660253882408142,-0.8660253882408142,6,150
distance_to_road_1km,1000.0,1000.0,0.0,2638.0712076822915,5426.306267903646,6,150
landcover_1km,155.0,210.0,55.0,153.33333333333334,162.30666666666667,6,150
municipalities_multiband_band1,0.0,0.0,0.0,0.0,0.0,6,150
municipalities_multiband_band2,1.0,1.0,0.0,1.0,1.0,6,150
municipalities_multiband_band3,0.0,0.0,0.0,0.0,0.0,6,150
municipalities_multiband_band4,0.0,0.0,0.0,0.0,0.0,6,150
municipalities_multiband_band5,0.0,0.0,0.0,0.0,0.0,6,150
municipalities_multiband_band6,0.0,0.0,0.0,0.0,0.0,6,150
municipalities_multiband_band7,0.0,0.0,0.0,0.0,0.0,6,150
municipalities_multiband_band8,0.0,0.0,0.0,0.16666666666666666,0.02,6,150
relative_humidity,60.476179122924805,83.45153045654297,22.975351333618164,58.487379709879555,72.69819608052572,6,150
sin_month,0.5,0.5,0.0,0.5,0.5,6,150
temperature,15.30001449584961,13.490175247192383,-1.8098392486572266,14.270183881123861,14.240841891765594,6,150
water_1km,2.0,2.0,0.0,2.0,1.94,6,150
wind_speed,14.79191255569458,8.399338722229004,-6.392573833465576,13.897430260976156,8.650005553762117,6,150
