patch_id,status,model_b_max_prob,model_b_mean_prob,argmax_row,argmax_col,candidate_cell_count,passed_gate,threshold,candidate_threshold,invalid_values_before_cleaning,message
ab_coarse_000001,completed,0.00019321,0.00000042,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000002,completed,0.00000112,0.00000001,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000003,completed,0.00095485,0.00000262,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000004,completed,0.03136250,0.00007601,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000005,completed,0.00032496,0.00000069,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000006,completed,0.00013498,0.00000030,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000007,completed,0.00007389,0.00000016,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000008,completed,0.00020784,0.00000101,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000009,completed,0.00026125,0.00000102,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000010,completed,0.00000254,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000011,completed,0.00000340,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000012,completed,0.00000376,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000013,completed,0.00001305,0.00000006,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000014,completed,0.00031233,0.00000064,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000015,completed,0.00022891,0.00000055,16,16,0,0,0.300000,0.300000,0,
ab_coarse_000016,completed,0.56388998,0.00126050,16,16,1,1,0.300000,0.300000,0,
ab_coarse_000017,completed,0.00009720,0.00000057,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000018,completed,0.00000263,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000019,completed,0.00000140,0.00000001,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000020,completed,0.00000475,0.00000002,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000021,completed,0.00000030,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000022,completed,0.00000117,0.00000000,14,16,0,0,0.300000,0.300000,0,
ab_coarse_000023,completed,0.00000057,0.00000000,14,16,0,0,0.300000,0.300000,0,
